Restr,Index,Valor,Se cumple
Rest_est,"(1, 1)",5.0,True
Rest_est,"(1, 2)",6.25,True
Rest_est,"(1, 3)",9.306,True
Rest_est,"(1, 4)",0.0,True
Rest_est,"(1, 5)",0.0,True
R1,"(1, 1)",0.0,True
R1,"(1, 2)",-312.5,True
R1,"(1, 3)",-361.111,True
R1,"(1, 4)",0.0,True
R1,"(1, 5)",-428.57,True
R2,"(1, 1, 1, 2)",0.0,True
R2,"(1, 1, 1, 3)",0.0,True
R2,"(1, 1, 1, 4)",0.0,True
R2,"(1, 1, 1, 5)",0.678,True
R2,"(1, 2, 1, 1)",0.0,True
R2,"(1, 2, 1, 3)",3.472,True
R2,"(1, 2, 1, 4)",2.778,True
R2,"(1, 2, 1, 5)",0.0,True
R2,"(1, 3, 1, 1)",0.0,True
R2,"(1, 3, 1, 2)",0.0,True
R2,"(1, 3, 1, 4)",0.0,True
R2,"(1, 3, 1, 5)",0.75,True
R2,"(1, 4, 1, 1)",0.0,True
R2,"(1, 4, 1, 2)",0.0,True
R2,"(1, 4, 1, 3)",0.0,True
R2,"(1, 4, 1, 5)",0.0,True
R2,"(1, 5, 1, 1)",0.0,True
R2,"(1, 5, 1, 2)",0.0,True
R2,"(1, 5, 1, 3)",0.0,True
R2,"(1, 5, 1, 4)",0.0,True
R3,"(1, 1)",-0.0,True
R3,"(1, 2)",0.0,True
R3,"(1, 3)",0.0,True
R3,"(1, 4)",-0.0,True
R3,"(1, 5)",-0.0,True
R4,"(1, 1)",-4.322,True
R4,"(1, 2)",-0.0,True
R4,"(1, 3)",-12.027,True
R4,"(1, 4)",-2.778,True
R4,"(1, 5)",-1.429,True
Lg,"(1, 1, 1, 2)",0.0,True
Lg,"(1, 1, 1, 3)",0.0,True
Lg,"(1, 1, 1, 4)",0.0,True
Lg,"(1, 1, 1, 5)",-0.0,True
Lg,"(1, 2, 1, 1)",-0.0,True
Lg,"(1, 2, 1, 3)",0.0,True
Lg,"(1, 2, 1, 4)",0.0,True
Lg,"(1, 2, 1, 5)",-0.0,True
Lg,"(1, 3, 1, 1)",0.0,True
Lg,"(1, 3, 1, 2)",0.0,True
Lg,"(1, 3, 1, 4)",0.0,True
Lg,"(1, 3, 1, 5)",-0.0,True
Lg,"(1, 4, 1, 1)",0.0,True
Lg,"(1, 4, 1, 2)",0.0,True
Lg,"(1, 4, 1, 3)",0.0,True
Lg,"(1, 4, 1, 5)",0.0,True
Lg,"(1, 5, 1, 1)",0.0,True
Lg,"(1, 5, 1, 2)",0.0,True
Lg,"(1, 5, 1, 3)",0.0,True
Lg,"(1, 5, 1, 4)",-0.0,True
comp_1,"(1, 1)",0.0,True
comp_4,"(1, 1)",-0.0,True
comp_1,"(1, 2)",-0.0,True
comp_4,"(1, 2)",-0.0,True
comp_1,"(1, 3)",-0.0,True
comp_4,"(1, 3)",-0.0,True
comp_1,"(1, 4)",0.0,True
comp_4,"(1, 4)",-0.0,True
comp_1,"(1, 5)",-0.0,True
comp_4,"(1, 5)",-0.0,True
comp_2,"(1, 1, 1, 2)",0.0,True
comp_2,"(1, 1, 1, 3)",0.0,True
comp_2,"(1, 1, 1, 4)",0.0,True
comp_2,"(1, 1, 1, 5)",0.0,True
comp_2,"(1, 2, 1, 1)",0.0,True
comp_2,"(1, 2, 1, 3)",0.0,True
comp_2,"(1, 2, 1, 4)",0.0,True
comp_2,"(1, 2, 1, 5)",0.0,True
comp_2,"(1, 3, 1, 1)",0.0,True
comp_2,"(1, 3, 1, 2)",0.0,True
comp_2,"(1, 3, 1, 4)",0.0,True
comp_2,"(1, 3, 1, 5)",0.0,True
comp_2,"(1, 4, 1, 1)",0.0,True
comp_2,"(1, 4, 1, 2)",0.0,True
comp_2,"(1, 4, 1, 3)",0.0,True
comp_2,"(1, 4, 1, 5)",0.0,True
comp_2,"(1, 5, 1, 1)",0.0,True
comp_2,"(1, 5, 1, 2)",0.0,True
comp_2,"(1, 5, 1, 3)",0.0,True
comp_2,"(1, 5, 1, 4)",0.0,True
mu,"(1, 1)",1951.0,True
mu,"(1, 1)",0.0,True
mu,"(1, 2)",0.0,True
mu,"(1, 2)",0.0,True
mu,"(1, 3)",0.0,True
mu,"(1, 3)",0.0,True
mu,"(1, 4)",0.0,True
mu,"(1, 4)",0.0,True
mu,"(1, 5)",0.0,True
mu,"(1, 5)",0.0,True
mu_2,"(1, 1, 1, 2)",2.0,True
mu_2,"(1, 1, 1, 3)",0.0,True
mu_2,"(1, 1, 1, 4)",0.0,True
mu_2,"(1, 1, 1, 5)",0.0,True
mu_2,"(1, 2, 1, 1)",200290.0,True
mu_2,"(1, 2, 1, 3)",0.0,True
mu_2,"(1, 2, 1, 4)",0.0,True
mu_2,"(1, 2, 1, 5)",0.0,True
mu_2,"(1, 3, 1, 1)",195135.0,True
mu_2,"(1, 3, 1, 2)",2.0,True
mu_2,"(1, 3, 1, 4)",0.0,True
mu_2,"(1, 3, 1, 5)",0.0,True
mu_2,"(1, 4, 1, 1)",14685.0,True
mu_2,"(1, 4, 1, 2)",65.0,True
mu_2,"(1, 4, 1, 3)",4.0,True
mu_2,"(1, 4, 1, 5)",0.0,True
mu_2,"(1, 5, 1, 1)",14685.0,True
mu_2,"(1, 5, 1, 2)",65.0,True
mu_2,"(1, 5, 1, 3)",4.0,True
mu_2,"(1, 5, 1, 4)",6.0,True
